5882
6991
7357
14897
8 16 32 64 128 256 512
# Base 640.bmp
4.2097 5849.3776 0.0365 8
6.0132 6278.6805 0.0541
6.6833 6788.8762 0.0865
7.7217 6841.2687 0.1589
6.9828 7082.4659 0.2952
9.0772 7308.0745 0.5591
8.4957 7441.7846 1.0848
# Base 5184.bmp
2.0887 6564.1110 2.1132 8
2.0006 6641.3113 3.3164
1.1670 6215.4145 6.1143
1.7931 6683.0315 10.5224
1.7991 6744.5735 20.0097
2.4206 7267.9977 36.2901
2.8931 7307.5354 71.3205
# SSE 640.bmp
5.3292 7823.6238 0.0164 8
6.8919 7620.7847 0.0331
7.2362 8308.6522 0.0594
8.4234 8468.9623 0.1163
8.0025 8552.5447 0.2302
8.8300 8741.2061 0.4483
8.0446 8773.7111 0.8908
# SSE 5184.bmp
2.2445 8961.9221 0.9951 8
2.4492 9041.9281 1.9017
2.5150 9003.9087 3.7483
2.5736 8922.0067 7.4936
2.5141 8859.8240 15.0200
2.5136 8447.0734 30.5973
2.8590 8434.4499 61.0630
